alertID,Rule Description,Source IP,MITRE ATT&CK Technique,Rule ID,Fired Times,Severity Level,Timestamp
34,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,802,5,Apr 11 16:24:02
35,PAM: User login failed.,104.225.217.122,Password Guessing,5503,150,5,Apr 11 16:08:02
36,PAM: User login failed.,104.225.217.122,Password Guessing,5503,461,5,Apr 11 13:32:02
37,PAM: User login failed.,179.43.180.106,Password Guessing,5503,791,5,Apr 11 13:42:26
38,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1574,5,Apr 11 16:43:02
39,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,820,5,Apr 11 13:32:02
40,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1335,5,Apr 11 13:41:03
41,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,83,5,Apr 11 13:05:01
42,PAM: User login failed.,43.153.207.95,Password Guessing,5503,198,5,01-04-2011 12:11
43,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1797,5,Apr 11 16:47:02
44,sshd: authentication failed.,81.30.162.18,"Password Guessing,SSH",5760,532,5,01-04-2011 11:53
45,PAM: User login failed.,180.101.88.229,Password Guessing,5503,281,5,Apr 11 16:14:39
46,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1320,5,Apr 11 14:25:02
47,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,407,5,Apr 11 13:17:04
48,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,38,10,Apr 11 14:16:02
49,PAM: User login failed.,180.101.88.229,Password Guessing,5503,239,5,01-04-2011 12:14
50,sshd: Attempt to login using a non-existent user,39.109.117.82,"Password Guessing,SSH",5710,987,5,01-04-2011 11:59
51,PAM: User login failed.,104.225.217.122,Password Guessing,5503,474,5,01-04-2011 12:44
52,sshd: Attempt to login using a non-existent user,139.186.181.185,"Password Guessing,SSH",5710,375,5,01-04-2011 12:16
53,PAM: User login failed.,104.225.217.122,Password Guessing,5503,448,5,Apr 11 14:12:02
54,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,112,5,Apr 11 14:01:04
55,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1143,5,Apr 11 13:38:02
56,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,796,5,Apr 11 13:31:20
57,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,477,5,Apr 11 13:20:03
58,sshd: Attempt to login using a non-existent user,81.30.162.18,"Password Guessing,SSH",5710,820,5,01-04-2011 11:51
59,PAM: User login failed.,39.100.241.126,Password Guessing,5503,526,5,01-04-2011 12:51
60,PAM: User login failed.,157.245.104.97,Password Guessing,5503,321,5,01-04-2011 12:20
61,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,995,5,Apr 11 14:16:04
62,syslog: User missed the password more than one time,180.101.88.229,Brute Force,2502,78,10,Apr 11 16:46:38
63,sshd: Attempt to login using a non-existent user,81.30.162.18,"Password Guessing,SSH",5710,835,5,01-04-2011 11:52
64,PAM: User login failed.,43.134.46.239,Password Guessing,5503,776,5,01-04-2011 11:57
65,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,805,5,Apr 11 14:12:02
66,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,184,5,Apr 11 15:06:02
67,sshd: authentication failed.,Unknown,"Password Guessing,SSH",5760,344,5,01-04-2011 12:40
68,sshd: Attempt to login using a non-existent user,212.64.10.125,"Password Guessing,SSH",5710,2539,5,Apr 11 13:56:39
69,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1331,5,Apr 11 14:25:04
70,sshd: authentication failed.,43.134.46.239,"Password Guessing,SSH",5760,598,5,01-04-2011 11:56
71,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,689,5,Apr 11 13:28:04
72,PAM: User login failed.,124.221.245.149,Password Guessing,5503,987,5,Apr 11 13:46:36
73,sshd: Attempt to login using a non-existent user,202.185.181.42,"Password Guessing,SSH",5710,52,5,Apr 11 16:01:35
74,PAM: User login failed.,104.225.217.122,Password Guessing,5503,702,5,Apr 11 14:22:02
75,sshd: authentication failed.,170.64.161.109,"Password Guessing,SSH",5760,128,5,Apr 11 13:29:16
76,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,108,5,Apr 11 16:29:04
77,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,31,3,Apr 11 15:30:01
78,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1520,5,Apr 11 14:32:01
79,PAM: User login failed.,104.225.217.122,Password Guessing,5503,208,5,Apr 11 13:16:02
80,syslog: User missed the password more than one time,180.101.88.229,Brute Force,2502,64,10,01-04-2011 12:33
81,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2037,5,Apr 11 14:50:02
82,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,59,5,Apr 11 13:18:04
83,sshd: brute force trying to get access to the system. Non existent user.,39.100.241.126,Brute Force,5712,13,10,01-04-2011 12:56
84,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,755,5,Apr 11 16:22:05
85,sshd: authentication failed.,180.101.88.229,"Password Guessing,SSH",5760,495,5,Apr 11 13:56:19
86,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1686,5,Apr 11 16:45:02
87,PAM: User login failed.,39.109.117.82,Password Guessing,5503,624,5,01-04-2011 11:48
88,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,391,5,Apr 11 13:17:01
89,sshd: Attempt to login using a non-existent user,139.186.181.185,"Password Guessing,SSH",5710,306,5,01-04-2011 12:13
90,PAM: Login session closed.,Unknown,,5502,27,3,Apr 11 13:26:04
91,sshd: authentication failed.,81.30.162.18,"Password Guessing,SSH",5760,214,5,01-04-2011 12:18
92,sshd: authentication failed.,180.101.88.229,"Password Guessing,SSH",5760,415,5,Apr 11 14:44:03
93,PAM: User login failed.,180.101.88.229,Password Guessing,5503,383,5,01-04-2011 12:27
94,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1244,5,Apr 11 16:58:01
95,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1212,5,Apr 11 13:39:04
96,PAM: User login failed.,104.225.217.122,Password Guessing,5503,930,5,Apr 11 16:44:02
97,PAM: User login failed.,180.101.88.229,Password Guessing,5503,917,5,Apr 11 16:43:46
98,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,927,5,Apr 11 16:27:04
99,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,996,5,Apr 11 13:36:02
100,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,2,10,Apr 11 16:00:02
101,syslog: User missed the password more than one time,39.100.241.126,Brute Force,2502,92,10,01-04-2011 12:48
102,sshd: brute force trying to get access to the system. Non existent user.,104.225.217.122,Brute Force,5712,121,10,Apr 11 13:34:04
103,PAM: User login failed.,110.40.153.96,Password Guessing,5503,506,5,Apr 11 16:25:11
104,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2013,5,Apr 11 16:51:02
105,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,39,3,Apr 11 16:39:01
106,PAM: User login failed.,170.64.161.109,Password Guessing,5503,750,5,Apr 11 13:41:34
107,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,525,5,Apr 11 15:17:04
108,PAM: Login session closed.,Unknown,,5502,56,3,Apr 11 15:54:05
109,syslog: User missed the password more than one time,180.101.88.229,Brute Force,2502,49,10,Apr 11 15:28:32
110,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1346,5,Apr 11 14:26:01
111,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,212,5,Apr 11 13:10:01
112,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2238,5,Apr 11 14:57:01
113,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,25,10,Apr 11 15:14:02
114,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,985,5,Apr 11 15:33:01
115,PAM: User login failed.,104.225.217.122,Password Guessing,5503,592,5,Apr 11 13:37:02
116,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,298,5,Apr 11 15:10:02
117,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1269,5,Apr 11 14:57:01
118,PAM: User login failed.,81.30.162.18,Password Guessing,5503,143,5,01-04-2011 12:07
119,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,890,5,Apr 11 13:34:04
120,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,37,3,Apr 11 16:37:01
121,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,400,5,Apr 11 13:17:02
122,sshd: brute force trying to get access to the system. Non existent user.,104.225.217.122,Brute Force,5712,94,10,Apr 11 14:19:04
123,PAM: User login failed.,104.225.217.122,Password Guessing,5503,500,5,Apr 11 13:34:02
124,sshd: Attempt to login using a non-existent user,194.113.236.217,"Password Guessing,SSH",5710,884,5,01-04-2011 11:54
125,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,30,3,Apr 11 14:29:01
126,syslog: User missed the password more than one time,218.92.0.107,Brute Force,2502,19,10,Apr 11 16:13:27
127,sshd: Attempt to login using a non-existent user,43.134.46.239,"Password Guessing,SSH",5710,441,5,01-04-2011 12:21
128,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1215,5,Apr 11 14:22:01
129,PAM: User login failed.,104.225.217.122,Password Guessing,5503,741,5,Apr 11 14:24:02
130,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,46,3,Apr 11 13:45:01
131,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1268,5,Apr 11 13:40:02
132,New dpkg (Debian Package) installed.,Unknown,,2902,5,7,Unknown
133,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,47,5,Apr 11 13:15:02
134,sshd: Attempt to login using a non-existent user,140.143.142.95,"Password Guessing,SSH",5710,141,5,Apr 11 14:01:24
135,sshd: authentication failed.,180.101.88.229,"Password Guessing,SSH",5760,67,5,01-04-2011 12:05
136,sshd: Attempt to login using a non-existent user,188.166.47.99,"Password Guessing,SSH",5710,438,5,01-04-2011 12:21
137,PAM: User login failed.,104.225.217.122,Password Guessing,5503,860,5,Apr 11 14:31:02
138,PAM: User login failed.,194.169.175.35,Password Guessing,5503,446,5,01-04-2011 11:31
139,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,197,5,Apr 11 15:06:04
140,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,175,5,Apr 11 14:38:04
141,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,187,5,Apr 11 14:02:01
142,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1158,5,Apr 11 13:38:05
143,sshd: authentication failed.,180.101.88.229,"Password Guessing,SSH",5760,16,5,01-04-2011 11:02
144,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,58,10,Apr 11 14:25:02
145,sshd: Attempt to login using a non-existent user,152.136.182.163,"Password Guessing,SSH",5710,2243,5,Apr 11 13:53:22
146,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,60,3,Apr 11 15:59:01
147,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1634,5,Apr 11 13:45:02
148,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1897,5,Apr 11 14:45:02
149,sshd: Attempt to login using a non-existent user,43.134.46.239,"Password Guessing,SSH",5710,861,5,01-04-2011 11:53
150,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1346,5,Apr 11 15:45:05
151,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,654,5,Apr 11 13:27:02
152,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,61,10,Apr 11 15:35:03
153,sshd: Attempt to login using a non-existent user,170.64.173.245,"Password Guessing,SSH",5710,16,5,01-04-2011 11:01
154,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1230,5,Apr 11 16:57:02
155,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,315,5,Apr 11 13:14:02
156,PAM: User login failed.,104.225.217.122,Password Guessing,5503,269,5,Apr 11 14:07:02
157,PAM: User login failed.,104.225.217.122,Password Guessing,5503,787,5,Apr 11 16:39:02
158,Integrity checksum changed.,Unknown,Stored Data Manipulation,550,4,7,Unknown
159,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,25,5,Apr 11 13:03:05
160,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1320,5,Apr 11 16:38:02
161,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1876,5,Apr 11 16:48:04
162,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2145,5,Apr 11 14:54:02
163,PAM: User login failed.,180.101.88.229,Password Guessing,5503,699,5,01-04-2011 11:53
164,PAM: Login session opened.,Unknown,Valid Accounts,5501,60,3,Apr 11 14:59:01
165,syslog: User missed the password more than one time,180.101.88.229,Brute Force,2502,10,10,01-04-2011 11:05
166,PAM: User login failed.,81.192.46.38,Password Guessing,5503,682,5,01-04-2011 11:52
167,PAM: User login failed.,104.225.217.122,Password Guessing,5503,316,5,Apr 11 16:16:02
168,sshd: Attempt to login using a non-existent user,170.64.173.245,"Password Guessing,SSH",5710,915,5,01-04-2011 11:55
169,sshd: authentication failed.,1.117.73.36,"Password Guessing,SSH",5760,209,5,Apr 11 13:39:01
170,sshd: authentication failed.,179.43.180.106,"Password Guessing,SSH",5760,285,5,Apr 11 15:52:05
171,sshd: Attempt to login using a non-existent user,81.30.162.18,"Password Guessing,SSH",5710,422,5,01-04-2011 12:19
172,PAM: User login failed.,104.225.217.122,Password Guessing,5503,923,5,Apr 11 13:45:02
173,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,148,5,Apr 11 16:39:03
174,sshd: Attempt to login using a non-existent user,170.64.196.141,"Password Guessing,SSH",5710,292,5,01-04-2011 12:12
175,PAM: User login failed.,104.225.217.122,Password Guessing,5503,226,5,Apr 11 16:12:02
176,PAM: User login failed.,104.225.217.122,Password Guessing,5503,629,5,Apr 11 14:18:02
177,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1398,5,Apr 11 15:48:02
178,PAM: User login failed.,180.101.88.229,Password Guessing,5503,820,5,Apr 11 16:40:15
179,syslog: User missed the password more than one time,39.100.241.126,Brute Force,2502,94,10,01-04-2011 12:49
180,PAM: User login failed.,104.225.217.122,Password Guessing,5503,68,5,Apr 11 16:04:01
181,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1464,5,Apr 11 13:58:02
182,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2215,5,Apr 11 16:55:02
183,PAM: User login failed.,183.81.169.238,Password Guessing,5503,35,5,01-04-2011 12:02
184,sshd: Attempt to login using a non-existent user,103.157.114.106,"Password Guessing,SSH",5710,1191,5,Apr 11 15:39:24
185,sshd: Attempt to login using a non-existent user,140.143.142.95,"Password Guessing,SSH",5710,834,5,Apr 11 13:32:10
186,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1113,5,Apr 11 16:52:01
187,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1300,5,Apr 11 14:24:04
188,PAM: User login failed.,104.225.217.122,Password Guessing,5503,158,5,Apr 11 15:10:02
189,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1532,5,Apr 11 16:42:04
190,PAM: Login session opened.,Unknown,Valid Accounts,5501,41,3,Apr 11 16:41:01
191,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,636,5,Apr 11 13:26:04
192,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2659,5,Apr 11 13:58:02
193,PAM: User login failed.,104.225.217.122,Password Guessing,5503,268,5,Apr 11 16:14:02
194,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,598,5,Apr 11 13:25:02
195,sshd: Attempt to login using a non-existent user,157.245.104.97,"Password Guessing,SSH",5710,25,5,01-04-2011 12:01
196,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1169,5,Apr 11 16:34:03
197,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1424,5,Apr 11 13:57:02
198,sshd: Attempt to login using a non-existent user,14.215.46.149,"Password Guessing,SSH",5710,765,5,Apr 11 16:22:50
199,sshd: authentication failed.,218.92.0.27,"Password Guessing,SSH",5760,96,5,Apr 11 16:14:08
200,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1571,5,Apr 11 13:44:04
201,sshd: authentication failed.,Unknown,"Password Guessing,SSH",5760,425,5,Apr 11 16:58:00
202,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,109,5,Apr 11 15:30:02
203,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,357,5,Apr 11 15:12:02
204,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,32,3,Apr 11 15:31:01
205,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2117,5,Apr 11 14:53:01
206,sshd: Attempt to login using a non-existent user,124.156.211.11,"Password Guessing,SSH",5710,227,5,01-04-2011 12:09
207,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,803,5,Apr 11 16:24:01
208,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,2187,5,Apr 11 13:52:45
209,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,250,5,Apr 11 15:08:02
210,sshd: Attempt to login using a non-existent user,170.64.173.245,"Password Guessing,SSH",5710,723,5,01-04-2011 11:45
211,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2200,5,Apr 11 14:56:01
212,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1538,5,Apr 11 15:53:02
213,sshd: authentication failed.,218.92.0.27,"Password Guessing,SSH",5760,98,5,Apr 11 16:14:11
214,sshd: Attempt to login using a non-existent user,136.228.161.67,"Password Guessing,SSH",5710,698,5,01-04-2011 11:42
215,PAM: User login failed.,104.225.217.122,Password Guessing,5503,980,5,Apr 11 16:46:02
216,Systemd: Service exited due to a failure.,Unknown,,40704,1,5,01-04-2011 12:36
217,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,1208,5,Apr 11 14:21:30
218,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1141,5,Apr 11 14:48:01
219,PAM: User login failed.,104.225.217.122,Password Guessing,5503,46,5,Apr 11 15:03:02
220,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1730,5,Apr 11 14:39:01
221,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1681,5,Apr 11 14:37:02
222,PAM: User login failed.,170.64.161.109,Password Guessing,5503,1054,5,Apr 11 13:48:09
223,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1188,5,Apr 11 14:21:02
224,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,531,5,Apr 11 13:22:03
225,PAM: User login failed.,104.225.217.122,Password Guessing,5503,193,5,Apr 11 14:05:01
226,sshd: Attempt to login using a non-existent user,212.64.10.125,"Password Guessing,SSH",5710,1603,5,Apr 11 13:44:42
227,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,204,5,Apr 11 16:54:03
228,sshd: Attempt to login using a non-existent user,124.221.245.149,"Password Guessing,SSH",5710,2203,5,Apr 11 13:53:01
229,PAM: User login failed.,104.225.217.122,Password Guessing,5503,929,5,Apr 11 16:44:02
230,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1588,5,Apr 11 15:55:02
231,sshd: Attempt to login using a non-existent user,188.166.47.99,"Password Guessing,SSH",5710,887,5,01-04-2011 11:54
232,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1473,5,Apr 11 13:43:02
233,PAM: User login failed.,104.225.217.122,Password Guessing,5503,11,5,Apr 11 14:00:02
234,PAM: User login failed.,104.225.217.122,Password Guessing,5503,365,5,Apr 11 15:23:02
235,sshd: Attempt to login using a non-existent user,110.40.153.96,"Password Guessing,SSH",5710,831,5,Apr 11 16:24:31
236,PAM: User login failed.,104.225.217.122,Password Guessing,5503,600,5,Apr 11 14:17:02
237,PAM: User login failed.,104.225.217.122,Password Guessing,5503,377,5,Apr 11 14:10:02
238,PAM: User login failed.,180.101.88.229,Password Guessing,5503,1205,5,Apr 11 14:52:27
239,PAM: User login failed.,104.225.217.122,Password Guessing,5503,505,5,Apr 11 13:34:02
240,Successful sudo to ROOT executed.,Unknown,Sudo and Sudo Caching,5402,26,3,Apr 11 14:25:01
241,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,56,5,Apr 11 16:02:02
242,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,219,5,Apr 11 13:10:02
243,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,226,5,Apr 11 16:07:03
244,sshd: Attempt to login using a non-existent user,188.166.47.99,"Password Guessing,SSH",5710,458,5,01-04-2011 12:22
245,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1205,5,Apr 11 13:52:02
246,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1977,5,Apr 11 16:50:04
247,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2083,5,Apr 11 16:52:04
248,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,451,5,Apr 11 16:13:04
249,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,103,10,Apr 11 14:47:01
250,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,88,5,Apr 11 16:03:01
251,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1039,5,Apr 11 16:31:02
252,sshd: Attempt to login using a non-existent user,43.134.46.239,"Password Guessing,SSH",5710,68,5,01-04-2011 12:02
253,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,2101,5,Apr 11 14:52:04
254,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1063,5,Apr 11 14:42:02
255,PAM: User login failed.,43.134.46.239,Password Guessing,5503,792,5,01-04-2011 11:59
256,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,682,5,Apr 11 14:09:58
257,sshd: Attempt to login using a non-existent user,212.64.10.125,"Password Guessing,SSH",5710,1602,5,Apr 11 13:44:42
